,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
27,median,0.45,0.9987878787878788,0.9987834549878345,0.9987834549878345,0.9987834549878345,0.8974349810091297
28,median,0.5,0.9993333333333333,0.9986595174262735,1.0,0.9993293091884641,0.8974349810091297
29,median,0.55,1.0,1.0,1.0,1.0,0.8974349810091297
30,median,0.6,1.0,1.0,1.0,1.0,0.8974349810091297
31,median,0.65,1.0,1.0,1.0,1.0,0.8974349810091297
32,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.8974349810091297
33,median,0.75,1.0,1.0,1.0,1.0,0.8974349810091297
34,median,0.8,1.0,1.0,1.0,1.0,0.8974349810091297
35,median,0.85,1.0,1.0,1.0,1.0,0.8974349810091297
36,median,0.9,1.0,1.0,1.0,1.0,0.8974349810091297
37,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.8974349810091297
38,min,0.05,0.9771929824561404,0.979663394109397,0.9748778785764132,0.9772647778943686,0.8917514507293532
39,min,0.1,0.9866666666666667,0.9881918819188192,0.9852832965415746,0.9867354458364038,0.8917514507293532
40,min,0.15,0.9909803921568627,0.989010989010989,0.9929078014184397,0.9909555642941408,0.8917514507293532
41,min,0.2,0.9920833333333333,0.9908256880733946,0.9933110367892977,0.9920668058455114,0.8917514507293532
42,min,0.25,0.992,0.9911111111111112,0.9928762243989314,0.9919928825622776,0.8917514507293532
43,min,0.3,0.9914285714285714,0.990521327014218,0.9924026590693258,0.99146110056926,0.8917514507293532
44,min,0.35000000000000003,0.9907692307692307,0.9897854954034729,0.9918116683725691,0.99079754601227,0.8917514507293532
45,min,0.4,0.9905555555555555,0.9888888888888889,0.992196209587514,0.9905397885364496,0.8917514507293532
46,min,0.45,0.990909090909091,0.9890909090909091,0.9927007299270073,0.9908925318761385,0.8917514507293532
47,min,0.5,0.9906666666666667,0.9878869448183042,0.993234100135318,0.99055330634278,0.8917514507293532
48,min,0.55,0.9911111111111112,0.989409984871407,0.992412746585736,0.990909090909091,0.8917514507293532
49,min,0.6,0.9908333333333333,0.988135593220339,0.9931856899488927,0.9906542056074766,0.8917514507293532
50,min,0.65,0.9914285714285714,0.9902534113060428,0.9921875,0.9912195121951219,0.8917514507293532
51,min,0.7000000000000001,0.9922222222222222,0.9910313901345291,0.9932584269662922,0.9921436588103255,0.8917514507293532
52,min,0.75,0.992,0.9917808219178083,0.9917808219178083,0.9917808219178083,0.8917514507293532
53,min,0.8,0.9916666666666667,0.9897959183673469,0.9931740614334471,0.9914821124361158,0.8917514507293532
54,min,0.85,0.9911111111111112,0.9904306220095693,0.9904306220095693,0.9904306220095693,0.8917514507293532
55,min,0.9,0.9933333333333333,0.9924242424242424,0.9924242424242424,0.9924242424242424,0.8917514507293532
56,min,0.9500000000000001,0.9933333333333333,0.9830508474576272,1.0,0.9914529914529915,0.8917514507293532
57,max,0.05,0.972280701754386,0.9742519137091162,0.970873786407767,0.9725599166377215,0.8959547938960478
58,max,0.1,0.98,0.9823917828319882,0.9780861943024105,0.9802342606149341,0.8959547938960478
59,max,0.15,0.9854901960784314,0.9891050583657588,0.982225656877898,0.9856533540131834,0.8959547938960478
60,max,0.2,0.9916666666666667,0.9904153354632588,0.9935897435897436,0.992,0.8959547938960478
61,max,0.25,0.9924444444444445,0.9923076923076923,0.9931565440547476,0.9927319367250962,0.8959547938960478
62,max,0.3,0.9942857142857143,0.9935720844811754,0.9954001839926403,0.9944852941176471,0.8959547938960478
63,max,0.35000000000000003,0.9964102564102564,0.9951028403525954,0.9980353634577603,0.9965669445806769,0.8959547938960478
64,max,0.4,0.9961111111111111,0.9945054945054945,0.9977949283351709,0.996147495872317,0.8959547938960478
65,max,0.45,0.9987878787878788,0.998812351543943,0.998812351543943,0.998812351543943,0.8959547938960478
66,max,0.5,0.9993333333333333,1.0,0.9986996098829649,0.9993493819128172,0.8959547938960478
67,max,0.55,0.9992592592592593,1.0,0.9985486211901307,0.9992737835875091,0.8959547938960478
68,max,0.6,0.9991666666666666,1.0,0.9983108108108109,0.9991546914623838,0.8959547938960478
69,max,0.65,1.0,1.0,1.0,1.0,0.8959547938960478
70,max,0.7000000000000001,1.0,1.0,1.0,1.0,0.8959547938960478
71,max,0.75,1.0,1.0,1.0,1.0,0.8959547938960478
72,max,0.8,1.0,1.0,1.0,1.0,0.8959547938960478
73,max,0.85,1.0,1.0,1.0,1.0,0.8959547938960478
74,max,0.9,1.0,1.0,1.0,1.0,0.8959547938960478
75,max,0.9500000000000001,1.0,1.0,1.0,1.0,0.8959547938960478
