,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
23,median,0.25,0.7920792079207921,0.8,0.75,0.7741935483870968,0.7671166532033583
24,median,0.3,0.7872340425531915,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.7671166532033583
25,median,0.35000000000000003,0.7954545454545454,0.8,0.7619047619047619,0.7804878048780488,0.7671166532033583
26,median,0.4,0.8024691358024691,0.8157894736842105,0.775,0.7948717948717948,0.7671166532033583
27,median,0.45,0.8243243243243243,0.8529411764705882,0.7837837837837838,0.8169014084507042,0.7671166532033583
28,median,0.5,0.8656716417910447,0.9,0.8181818181818182,0.8571428571428571,0.7671166532033583
29,median,0.55,0.8852459016393442,0.9285714285714286,0.8387096774193549,0.8813559322033898,0.7671166532033583
30,median,0.6,0.8888888888888888,0.9166666666666666,0.8461538461538461,0.88,0.7671166532033583
31,median,0.65,0.8936170212765957,0.9,0.8571428571428571,0.8780487804878049,0.7671166532033583
32,median,0.7000000000000001,0.926829268292683,0.9473684210526315,0.9,0.9230769230769231,0.7671166532033583
33,median,0.75,0.9411764705882353,1.0,0.8888888888888888,0.9411764705882353,0.7671166532033583
34,median,0.8,0.9629629629629629,1.0,0.9333333333333333,0.9655172413793104,0.7671166532033583
35,median,0.85,0.9523809523809523,1.0,0.9166666666666666,0.9565217391304348,0.7671166532033583
36,median,0.9,0.9285714285714286,1.0,0.875,0.9333333333333333,0.7671166532033583
37,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.7671166532033583
38,min,0.05,0.734375,0.7666666666666667,0.696969696969697,0.7301587301587301,0.7031261883513187
39,min,0.1,0.7355371900826446,0.7636363636363637,0.6885245901639344,0.7241379310344828,0.7031261883513187
40,min,0.15,0.7368421052631579,0.7547169811320755,0.7017543859649122,0.7272727272727273,0.7031261883513187
41,min,0.2,0.7407407407407407,0.7755102040816326,0.6909090909090909,0.7307692307692307,0.7031261883513187
