,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
0,avg,0.05,0.9992205767731879,0.9992559523809524,0.9992006394884093,0.9992274004573897,0.8999805144193298
1,avg,0.1,1.0,1.0,1.0,1.0,0.8999805144193298
2,avg,0.15,1.0,1.0,1.0,1.0,0.8999805144193298
3,avg,0.2,1.0,1.0,1.0,1.0,0.8999805144193298
4,avg,0.25,1.0,1.0,1.0,1.0,0.8999805144193298
5,avg,0.3,1.0,1.0,1.0,1.0,0.8999805144193298
6,avg,0.35000000000000003,1.0,1.0,1.0,1.0,0.8999805144193298
7,avg,0.4,1.0,1.0,1.0,1.0,0.8999805144193298
8,avg,0.45,1.0,1.0,1.0,1.0,0.8999805144193298
9,avg,0.5,1.0,1.0,1.0,1.0,0.8999805144193298
10,avg,0.55,1.0,1.0,1.0,1.0,0.8999805144193298
11,avg,0.6,1.0,1.0,1.0,1.0,0.8999805144193298
12,avg,0.65,1.0,1.0,1.0,1.0,0.8999805144193298
13,avg,0.7000000000000001,1.0,1.0,1.0,1.0,0.8999805144193298
14,avg,0.75,1.0,1.0,1.0,1.0,0.8999805144193298
15,avg,0.8,1.0,1.0,1.0,1.0,0.8999805144193298
16,avg,0.85,1.0,1.0,1.0,1.0,0.8999805144193298
17,avg,0.9,1.0,1.0,1.0,1.0,0.8999805144193298
18,avg,0.9500000000000001,1.0,1.0,1.0,1.0,0.8999805144193298
19,median,0.05,1.0,1.0,1.0,1.0,0.9000000000000001
20,median,0.1,1.0,1.0,1.0,1.0,0.9000000000000001
21,median,0.15,1.0,1.0,1.0,1.0,0.9000000000000001
22,median,0.2,1.0,1.0,1.0,1.0,0.9000000000000001
23,median,0.25,1.0,1.0,1.0,1.0,0.9000000000000001
24,median,0.3,1.0,1.0,1.0,1.0,0.9000000000000001
25,median,0.35000000000000003,1.0,1.0,1.0,1.0,0.9000000000000001
26,median,0.4,1.0,1.0,1.0,1.0,0.9000000000000001
27,median,0.45,1.0,1.0,1.0,1.0,0.9000000000000001
28,median,0.5,1.0,1.0,1.0,1.0,0.9000000000000001
29,median,0.55,1.0,1.0,1.0,1.0,0.9000000000000001
30,median,0.6,1.0,1.0,1.0,1.0,0.9000000000000001
31,median,0.65,1.0,1.0,1.0,1.0,0.9000000000000001
32,median,0.7000000000000001,1.0,1.0,1.0,1.0,0.9000000000000001
33,median,0.75,1.0,1.0,1.0,1.0,0.9000000000000001
34,median,0.8,1.0,1.0,1.0,1.0,0.9000000000000001
35,median,0.85,1.0,1.0,1.0,1.0,0.9000000000000001
36,median,0.9,1.0,1.0,1.0,1.0,0.9000000000000001
37,median,0.9500000000000001,1.0,1.0,1.0,1.0,0.9000000000000001
38,min,0.05,0.9945440374123149,0.9945054025626315,0.994621578099839,0.994560894028958,0.8946238731458737
39,min,0.1,0.9950617283950617,0.9949824544291778,0.9952013893421788,0.995085189658505,0.8946238731458737
40,min,0.15,0.9947735191637631,0.9946953176158194,0.9949060171282395,0.99479309056004,0.8946238731458737
41,min,0.2,0.9944444444444445,0.994326865406784,0.9945988120406725,0.994454322631804,0.8946238731458737
42,min,0.25,0.9940769990128332,0.9939652551805181,0.9942591455789737,0.9941025668173077,0.8946238731458737
43,min,0.3,0.9957671957671957,0.9957220578769328,0.9958287781768963,0.9957737880678881,0.8946238731458737
44,min,0.35000000000000003,0.9954441913439636,0.9953938488175827,0.9955060083535375,0.9954480443293682,0.8946238731458737
45,min,0.4,0.9962962962962963,0.9962017446717569,0.9964273235499651,0.9963080714518564,0.8946238731458737
46,min,0.45,0.9959623149394348,0.995809990662932,0.9960966513377265,0.9959457097859472,0.8946238731458737
47,min,0.5,0.9955555555555555,0.9953560149296582,0.9957323405009751,0.9955350582463609,0.8946238731458737
48,min,0.55,0.9950657894736842,0.9947872340425533,0.9952144658027011,0.9949896158193372,0.8946238731458737
49,min,0.6,0.9944444444444445,0.9942201518288475,0.9944952200861435,0.9943429917293569,0.8946238731458737
50,min,0.65,0.9936575052854123,0.9934458509142053,0.9937708475666117,0.9935892852079338,0.8946238731458737
51,min,0.7000000000000001,0.9925925925925926,0.9921644654469083,0.9928888888888889,0.9925016605814819,0.8946238731458737
52,min,0.75,0.9940828402366864,0.9937389770723103,0.9942680776014109,0.993990662666835,0.8946238731458737
53,min,0.8,0.9925925925925926,0.9922003284072249,0.9928352490421456,0.9924975325154001,0.8946238731458737
54,min,0.85,0.9901477832512315,0.9900475341651812,0.9901875901875902,0.9900822776122536,0.8946238731458737
55,min,0.9,0.9925925925925926,0.9924242424242425,0.9925925925925926,0.9924232640234191,0.8946238731458737
56,min,0.9500000000000001,0.9852941176470589,0.9848484848484849,0.9855072463768115,0.9848406546080964,0.8946238731458737
57,max,0.05,0.9968823070927514,0.9968743668913905,0.9969193773300322,0.9968959685279114,0.8998809054139443
58,max,0.1,0.9991769547325103,0.9991624790619765,0.9991474850809889,0.9991539095445553,0.8998809054139443
59,max,0.15,1.0,1.0,1.0,1.0,0.8998809054139443
60,max,0.2,1.0,1.0,1.0,1.0,0.8998809054139443
61,max,0.25,1.0,1.0,1.0,1.0,0.8998809054139443
62,max,0.3,1.0,1.0,1.0,1.0,0.8998809054139443
63,max,0.35000000000000003,1.0,1.0,1.0,1.0,0.8998809054139443
64,max,0.4,1.0,1.0,1.0,1.0,0.8998809054139443
65,max,0.45,1.0,1.0,1.0,1.0,0.8998809054139443
66,max,0.5,1.0,1.0,1.0,1.0,0.8998809054139443
67,max,0.55,1.0,1.0,1.0,1.0,0.8998809054139443
68,max,0.6,1.0,1.0,1.0,1.0,0.8998809054139443
69,max,0.65,1.0,1.0,1.0,1.0,0.8998809054139443
70,max,0.7000000000000001,1.0,1.0,1.0,1.0,0.8998809054139443
71,max,0.75,1.0,1.0,1.0,1.0,0.8998809054139443
72,max,0.8,1.0,1.0,1.0,1.0,0.8998809054139443
73,max,0.85,1.0,1.0,1.0,1.0,0.8998809054139443
74,max,0.9,1.0,1.0,1.0,1.0,0.8998809054139443
75,max,0.9500000000000001,1.0,1.0,1.0,1.0,0.8998809054139443
