,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
58,max,0.1,0.9975308641975309,0.9973753280839895,0.9977220956719818,0.9975396198004893,0.8995558606930265
59,max,0.15,0.9973867595818815,0.9972677595628415,0.9977116704805492,0.9974801522617995,0.8995558606930265
60,max,0.2,0.9981481481481481,0.9981060606060606,0.998272884283247,0.9981845315178649,0.8995558606930265
61,max,0.25,1.0,1.0,1.0,1.0,0.8995558606930265
62,max,0.3,1.0,1.0,1.0,1.0,0.8995558606930265
63,max,0.35000000000000003,1.0,1.0,1.0,1.0,0.8995558606930265
64,max,0.4,1.0,1.0,1.0,1.0,0.8995558606930265
65,max,0.45,1.0,1.0,1.0,1.0,0.8995558606930265
66,max,0.5,1.0,1.0,1.0,1.0,0.8995558606930265
67,max,0.55,1.0,1.0,1.0,1.0,0.8995558606930265
68,max,0.6,1.0,1.0,1.0,1.0,0.8995558606930265
69,max,0.65,1.0,1.0,1.0,1.0,0.8995558606930265
70,max,0.7000000000000001,1.0,1.0,1.0,1.0,0.8995558606930265
71,max,0.75,1.0,1.0,1.0,1.0,0.8995558606930265
72,max,0.8,1.0,1.0,1.0,1.0,0.8995558606930265
73,max,0.85,1.0,1.0,1.0,1.0,0.8995558606930265
74,max,0.9,1.0,1.0,1.0,1.0,0.8995558606930265
75,max,0.9500000000000001,1.0,1.0,1.0,1.0,0.8995558606930265
